ID;TITULO;FRASE;PARTE;LINK;CATEGORIA;AS;TOX;LI;TE
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Porque não, a cusão é que ele e eu ao mesmo tempo, hein?""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""julgamento por pornografia infantil.""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""E se está mostrando muita puta""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Severo;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""chuva dorada""";Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Porque não, a Cusão """;Início;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Onde é que estão aqueles seus dois netos, cabeça de merda, hein?""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Moderado;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Cara, foda-se, esses criollos intelectuais de uma figa.""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Severo;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Essa é a única forma de manter esses criollos sob controle.""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Aquele nego desgraçado """;Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""esses criolos sob""";Meio;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""É, elas andam confio dental, bem enfiado na bunda.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""Que porra é essa?""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""vadia branca.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Severo;Severa;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""sortudo desgraçado.""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Negativo;Não tóxico;Leve;Não educacional
cCPgKSnS5Ks;The boondocks 1Temporada Ep2 (Dublado PT-BR);"""atraído sexualmente""";Fim;https://youtu.be/cCPgKSnS5Ks?si=91MRwHErboFZjN2d&t=830;LI;Neutro;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Ou eu bato na sua bunda.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO ;LI;Negativo;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Ah, droga.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Droga, causando pânico nos brancos.""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""que não agir como criolo""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Um... E diabos!""";Início;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Não tóxico;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Esse desgraçado foi pegar uma capa de chuva.""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Severo;Leve;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Porra, Robert, você viu uma passeata usando uma beira de capa de chuva?""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Não tóxico;Severa;Não educacional
B-ad3jrUE1U;The boondocks 1Temporada - Ep1 (Dublado PT-BR);"""Você é um desgraçado que o senhor...""";Meio;https://www.youtube.com/watch?v=B-ad3jrUE1U&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO;LI;Negativo;Moderado;Leve;Não educacional
